,filename,Nodes,class
254,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/RandomAccessFileReader.java,"[BinaryExpr, IfStmt, BinaryExpr, MethodCallExpr, IfStmt, BinaryExpr, BreakStmt, VariableDeclarationExpr, MethodCallExpr, IfStmt, MethodCallExpr, MethodCallExpr, MethodCallExpr, AssignExpr, AssignExpr, AssignExpr, AssignExpr, AssignExpr] [len, buffersize, fill, buffersize, tocopy, Math, min, len, buffersize, System, arraycopy, buffer, bufferoffset, buf, off, tocopy, buffersize, tocopy, bufferoffset, tocopy, len, tocopy, read, tocopy, off, tocopy]",1
259,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/RandomAccessFileReader.java,"[MethodDeclaration, IfStmt, MethodCallExpr, MethodCallExpr, MethodCallExpr, AssignExpr, AssignExpr] [seek, pos, IOException, file, seek, pos, fp, pos, force, a, buffer, fill, on, next, read, buffersize]",2
300,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/servlets/GraphData.java,"[MethodDeclaration, VariableDeclarationExpr, IntegerLiteralExpr, VariableDeclarationExpr, IntegerLiteralExpr, VariableDeclarationExpr, IntegerLiteralExpr, VariableDeclarationExpr, NullLiteralExpr, AssignExpr, AssignExpr, AssignExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, BinaryExpr, AssignExpr, IfStmt, BinaryExpr, AssignExpr, IfStmt, BinaryExpr, IfStmt, BinaryExpr, AssignExpr, ElseStmt, AssignExpr, IfStmt, MethodCallExpr, MethodCallExpr, VariableDeclarationExpr, ConditionalExpr, ReturnStmt, MethodCallExpr] [String, handleRequest, JsonRequest, request, Exception, starttime, endtime, period, FilterOp, fo, starttime, request, getNumber, start, endtime, request, getNumber, end, period, request, getNumber, period, String, filterstr, request, getString, filter, filterstr, length, fo, FilterParser, filterstr, parse, starttime, starttime, source, getStartTime, endtime, period, endtime, starttime, period, endtime, starttime, DEFAULT, PERIOD, LogIterator, iterator, fo, source, iterator, starttime, endtime, fo, source, iterator, starttime, endtime, JsonGenerator, iterator, toString]",1
313,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/servlets/NumEvents.java,"[MethodDeclaration, VariableDeclarationExpr, StringLiteralExpr, VariableDeclarationExpr, IntegerLiteralExpr, VariableDeclarationExpr, IntegerLiteralExpr, VariableDeclarationExpr, IntegerLiteralExpr, AssignExpr, AssignExpr, AssignExpr, IfStmt, BinaryExpr, AssignExpr, IfStmt, BinaryExpr, IfStmt, BinaryExpr, AssignExpr, ElseStmt, AssignExpr, VariableDeclarationExpr, IntegerLiteralExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, VariableDeclarationExpr, ObjectCreationExpr, VariableDeclarationExpr, MethodCallExpr, MethodCallExpr, MethodCallExpr, MethodCallExpr, IfStmt, MethodCallExpr, MethodCallExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, ReturnStmt, NameExpr] [String, handleRequest, JsonRequest, request, Exception, String, output, starttime, endtime, period, starttime, request, getNumber, start, endtime, request, getNumber, end, period, request, getNumber, period, starttime, starttime, source, getStartTime, endtime, period, endtime, starttime, period, endtime, source, getEndTime, size, LogIterator, iter, source, iterator, starttime, endtime, size, iter, size, ObjectMapper, mapper, ObjectMapper, JsonNode, data, mapper, createObjectNode, ObjectNode, data, put, startTime, starttime, ObjectNode, data, put, endTime, endtime, ObjectNode, data, put, numEntries, iter, size, iter, close, String, jsonString, mapper, writer, MinimalPrettyPrinter, writeValueAsString, data, jsonString]",1
353,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/TxnLogSource.java,"[MethodDeclaration, VariableDeclarationExpr, NullLiteralExpr, TryStmt, VariableDeclarationExpr, VariableDeclarationExpr, TryStmt, AssignExpr, AssignExpr, IfStmt, BinaryExpr, ReturnStmt, NullLiteralExpr, VariableDeclarationExpr, ObjectCreationExpr, MethodCallExpr, IfStmt, BinaryExpr, ThrowStmt, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, SwitchStmt, MethodCallExpr, BlockStmt, BreakStmt, BlockStmt, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, AssignExpr, BreakStmt, MethodCallExpr, BreakStmt, IfStmt, BinaryExpr, ThrowStmt, ReturnStmt, NameExpr] [LogEntry, readNextEntry, LogEntry, e, crcValue, bytes, crcValue, logStream, readLong, crcvalue, bytes, logStream, readBuffer, txnEntry, EOFException, ex, bytes, length, Checksum, crc, Adler, crc, update, bytes, bytes, length, crcValue, crc, getValue, IOException, CRC, doesn, t, match, crcValue, vs, crc, getValue, TxnLogEntry, logEntry, SerializeUtils, deserializeTxn, bytes, TxnHeader, hdr, logEntry, getHeader, Record, r, logEntry, getTxn, hdr, getType, OpCode, createSession, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, createSession, OpCode, closeSession, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, closeSession, OpCode, create, r, CreateTxn, create, CreateTxn, r, String, path, create, getPath, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, create, path, OpCode, setData, r, SetDataTxn, set, SetDataTxn, r, String, path, set, getPath, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, setData, path, OpCode, setACL, r, SetACLTxn, setacl, SetACLTxn, r, String, path, setacl, getPath, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, setACL, path, OpCode, error, r, ErrorTxn, error, ErrorTxn, r, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, error, Error, error, getErr, logStream, readByte, EOR, B, EOFException, Last, transaction, was, partial, Exception, ex, e]",1
354,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/TxnLogSource.java,"[VariableDeclarationExpr, VariableDeclarationExpr, TryStmt, AssignExpr, AssignExpr, IfStmt, BinaryExpr, ReturnStmt, NullLiteralExpr, VariableDeclarationExpr, ObjectCreationExpr, MethodCallExpr, IfStmt, BinaryExpr, ThrowStmt, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, SwitchStmt, MethodCallExpr, BlockStmt, BreakStmt, BlockStmt, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, AssignExpr, BreakStmt, MethodCallExpr, BreakStmt, IfStmt, BinaryExpr, ThrowStmt] [crcValue, bytes, crcValue, logStream, readLong, crcvalue, bytes, logStream, readBuffer, txnEntry, EOFException, ex, bytes, length, Checksum, crc, Adler, crc, update, bytes, bytes, length, crcValue, crc, getValue, IOException, CRC, doesn, t, match, crcValue, vs, crc, getValue, TxnLogEntry, logEntry, SerializeUtils, deserializeTxn, bytes, TxnHeader, hdr, logEntry, getHeader, Record, r, logEntry, getTxn, hdr, getType, OpCode, createSession, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, createSession, OpCode, closeSession, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, closeSession, OpCode, create, r, CreateTxn, create, CreateTxn, r, String, path, create, getPath, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, create, path, OpCode, setData, r, SetDataTxn, set, SetDataTxn, r, String, path, set, getPath, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, setData, path, OpCode, setACL, r, SetACLTxn, setacl, SetACLTxn, r, String, path, setacl, getPath, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, setACL, path, OpCode, error, r, ErrorTxn, error, ErrorTxn, r, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, error, Error, error, getErr, logStream, readByte, EOR, B, EOFException, Last, transaction, was, partial, Exception, ex]",1
358,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/TxnLogSource.java,"[SwitchStmt, MethodCallExpr, BlockStmt, BreakStmt, BlockStmt, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, BreakStmt, IfStmt, BinaryExpr, VariableDeclarationExpr, CastExpr, AssignExpr, BreakStmt, MethodCallExpr, BreakStmt] [hdr, getType, OpCode, createSession, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, createSession, OpCode, closeSession, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, closeSession, OpCode, create, r, CreateTxn, create, CreateTxn, r, String, path, create, getPath, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, create, path, OpCode, setData, r, SetDataTxn, set, SetDataTxn, r, String, path, set, getPath, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, setData, path, OpCode, setACL, r, SetACLTxn, setacl, SetACLTxn, r, String, path, setacl, getPath, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, setACL, path, OpCode, error, r, ErrorTxn, error, ErrorTxn, r, e, TransactionEntry, hdr, getTime, hdr, getClientId, hdr, getCxid, hdr, getZxid, error, Error, error, getErr]",1
485,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/resources/SessionsResource.java,"[MethodDeclaration, IfStmt, UnaryExpr, ThrowStmt, VariableDeclarationExpr, TryStmt, AssignExpr, VariableDeclarationExpr, MethodCallExpr, WhileStmt, MethodCallExpr, AssignExpr, TryStmt, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, ReturnStmt, MethodCallExpr] [POST, Produces, MediaType, APPLICATION, JSON, application, javascript, MediaType, APPLICATION, XML, Response, createSession, QueryParam, op, String, op, DefaultValue, QueryParam, expire, String, expire, Context, UriInfo, ui, op, equals, create, WebApplicationException, Response, status, Response, Status, BAD, REQUEST, entity, ZError, ui, getRequestUri, toString, build, expireInSeconds, expireInSeconds, Integer, parseInt, expire, NumberFormatException, e, WebApplicationException, Response, status, Response, Status, BAD, REQUEST, build, String, uuid, UUID, randomUUID, toString, ZooKeeperService, isConnected, contextPath, uuid, uuid, UUID, randomUUID, toString, establish, the, connection, to, the, ZooKeeper, cluster, ZooKeeperService, getClient, contextPath, uuid, expireInSeconds, IOException, e, WebApplicationException, Response, status, Response, Status, INTERNAL, SERVER, ERROR, build, URI, uri, ui, getAbsolutePathBuilder, path, uuid, build, Response, created, uri, entity, JSONWithPadding, ZSession, uuid, uri, toString, build]",1
489,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/resources/SessionsResource.java,"[MethodCallExpr] [establish, the, connection, to, the, ZooKeeper, cluster, ZooKeeperService, getClient, contextPath, uuid, expireInSeconds, IOException, e, WebApplicationException, Response, status, Response, Status, INTERNAL, SERVER, ERROR, build]",2
536,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/RestMain.java,"[MethodDeclaration, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, ForEachStmt, MethodCallExpr, MethodCallExpr, IfStmt, NameExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, ObjectCreationExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, BinaryExpr, MethodCallExpr, MethodCallExpr, TryStmt, MethodCallExpr, MethodCallExpr, MethodCallExpr, MethodCallExpr] [start, IOException, System, out, println, Starting, grizzly, useSSL, cfg, useSSL, String, zkRestResourcesTempPath, Files, createTempDirectory, zkRestResourcesTempPath, toFile, getCanonicalPath, gws, GrizzlyWebServer, cfg, getPort, zkRestResourcesTempPath, useSSL, BUG, Grizzly, needs, a, doc, root, you, are, going, to, register, multiple, adapters, Endpoint, e, cfg, getEndpoints, ZooKeeperService, mapContext, e, getContext, e, gws, addGrizzlyAdapter, createJerseyAdapter, e, String, e, getContext, useSSL, System, out, println, Starting, SSL, String, jks, cfg, getJKS, keys, rest, jks, String, jksPassword, cfg, getJKSPassword, SSLConfig, sslConfig, SSLConfig, URL, resource, getClass, getClassLoader, getResource, jks, resource, System, exit, sslConfig, setKeyStoreFile, File, resource, toURI, getAbsolutePath, URISyntaxException, e, System, exit, sslConfig, setKeyStorePass, jksPassword, gws, setSSLConfig, sslConfig, gws, start]",1
538,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/RestMain.java,"[NameExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, ObjectCreationExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, BinaryExpr, MethodCallExpr, MethodCallExpr, TryStmt, MethodCallExpr, MethodCallExpr, MethodCallExpr] [useSSL, System, out, println, Starting, SSL, String, jks, cfg, getJKS, keys, rest, jks, String, jksPassword, cfg, getJKSPassword, SSLConfig, sslConfig, SSLConfig, URL, resource, getClass, getClassLoader, getResource, jks, resource, System, exit, sslConfig, setKeyStoreFile, File, resource, toURI, getAbsolutePath, URISyntaxException, e, System, exit, sslConfig, setKeyStorePass, jksPassword, gws, setSSLConfig, sslConfig]",2
539,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/RestMain.java,"[BinaryExpr, MethodCallExpr, MethodCallExpr] [resource, System, exit]",4
540,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/RestMain.java,"[MethodCallExpr] [sslConfig, setKeyStoreFile, File, resource, toURI, getAbsolutePath, URISyntaxException, e, System, exit]",3
551,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/ZooKeeperService.java,"[MethodDeclaration, IfStmt, MethodCallExpr, MethodCallExpr, MethodCallExpr] [Override, run, ZooKeeperService, close, contextPath, session]",2
557,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/ZooKeeperService.java,"[MethodDeclaration, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, BinaryExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, BinaryExpr, ReturnStmt, TryStmt, MethodCallExpr] [Close, the, ZooKeeper, session, and, remove, it, close, String, contextPath, String, session, String, uri, concat, contextPath, session, TimerTask, t, zkSessionTimers, remove, uri, t, t, cancel, ZooKeeper, zk, zkMap, remove, uri, zk, zk, close, InterruptedException, e]",1
560,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/ZooKeeperService.java,"[MethodCallExpr] [zk, close, InterruptedException, e]",3
566,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/ZooKeeperService.java,"[MethodDeclaration, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, BinaryExpr, IfStmt, MethodCallExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, ForEachStmt, MethodCallExpr, MethodCallExpr, IfStmt, BinaryExpr, MethodCallExpr, ReturnStmt, NameExpr] [Return, a, ZooKeeper, client, which, may, or, may, not, be, connected, but, it, will, not, be, expired, This, method, can, be, called, multiple, times, the, same, object, will, be, returned, except, in, the, where, the, session, expires, at, which, point, a, session, will, be, returned, ZooKeeper, getClient, String, contextPath, String, session, expireTime, IOException, String, connectionId, concat, contextPath, session, ZooKeeper, zk, zkMap, get, connectionId, zk, Endpoint, e, contextMap, get, contextPath, zk, ZooKeeper, e, getHostPort, MyWatcher, connectionId, Map, Entry, String, String, p, e, getZooKeeperAuthInfo, entrySet, zk, addAuthInfo, digest, String, format, s, s, p, getKey, p, getValue, getBytes, zkMap, put, connectionId, zk, a, session, should, automatically, expire, after, an, amount, of, time, session, zkSessionTimers, put, connectionId, SessionTimerTask, expireTime, session, contextPath, timer, zk]",1
567,/zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/ZooKeeperService.java,"[BinaryExpr, IfStmt, MethodCallExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, AssignExpr, ForEachStmt, MethodCallExpr, MethodCallExpr, IfStmt, BinaryExpr, MethodCallExpr] [zk, Endpoint, e, contextMap, get, contextPath, zk, ZooKeeper, e, getHostPort, MyWatcher, connectionId, Map, Entry, String, String, p, e, getZooKeeperAuthInfo, entrySet, zk, addAuthInfo, digest, String, format, s, s, p, getKey, p, getValue, getBytes, zkMap, put, connectionId, zk, a, session, should, automatically, expire, after, an, amount, of, time, session, zkSessionTimers, put, connectionId, SessionTimerTask, expireTime, session, contextPath, timer]",1
572,/zookeeper-contrib/zookeeper-contrib-rest/src/test/java/org/apache/zookeeper/JUnit4ZKTestRunner.java,"[MethodDeclaration, VariableDeclarationExpr, NameExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, BinaryExpr, MethodCallExpr, ElseStmt, MethodCallExpr, TryStmt, AssignExpr, ReturnStmt, NameExpr] [SuppressWarnings, unchecked, List, FrameworkMethod, computeTestMethodsForClass, Class, klass, List, FrameworkMethod, defaultMethods, List, FrameworkMethod, list, defaultMethods, String, methodName, System, getProperty, test, method, methodName, list, Arrays, asList, FrameworkMethod, klass, getMethod, methodName, NoSuchMethodException, nsme, list]",3
573,/zookeeper-contrib/zookeeper-contrib-rest/src/test/java/org/apache/zookeeper/JUnit4ZKTestRunner.java,"[BinaryExpr, MethodCallExpr, MethodCallExpr, TryStmt, AssignExpr] [methodName, list, Arrays, asList, FrameworkMethod, klass, getMethod, methodName, NoSuchMethodException, nsme]",4
574,/zookeeper-contrib/zookeeper-contrib-rest/src/test/java/org/apache/zookeeper/JUnit4ZKTestRunner.java,"[AssignExpr] [list, Arrays, asList, FrameworkMethod, klass, getMethod, methodName, NoSuchMethodException, nsme]",3
576,/zookeeper-contrib/zookeeper-contrib-rest/src/test/java/org/apache/zookeeper/JUnit4ZKTestRunner.java,"[MethodDeclaration, MethodCallExpr, TryStmt, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, BinaryExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, WhileStmt, BinaryExpr, AssignExpr, MethodCallExpr, MethodCallExpr] [Override, evaluate, Throwable, evaluate, Runtime, rt, Runtime, getRuntime, usedKB, rt, totalMemory, rt, freeMemory, ThreadGroup, tg, Thread, currentThread, getThreadGroup, tg, getParent, tg, tg, getParent, Throwable, t, The, test, method, threw, an, exception, but, it, might, be, an, expected, exception, as, defined, in, the, Test, annotation, Check, the, annotation, and, an, appropriate, message, Test, annotation, method, getAnnotation, Test, annotation, annotation, expected, annotation, expected, isAssignableFrom, t, getClass, t]",4
577,/zookeeper-contrib/zookeeper-contrib-rest/src/test/java/org/apache/zookeeper/JUnit4ZKTestRunner.java,"[MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, VariableDeclarationExpr, BinaryExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, WhileStmt, BinaryExpr, AssignExpr, MethodCallExpr] [evaluate, Runtime, rt, Runtime, getRuntime, usedKB, rt, totalMemory, rt, freeMemory, ThreadGroup, tg, Thread, currentThread, getThreadGroup, tg, getParent, tg, tg, getParent, Throwable, t, The, test, method, threw, an, exception, but, it, might, be, an, expected, exception, as, defined, in, the, Test, annotation, Check, the, annotation, and, an, appropriate, message, Test, annotation, method, getAnnotation, Test, annotation, annotation, expected, annotation, expected, isAssignableFrom, t, getClass, t]",3
578,/zookeeper-contrib/zookeeper-contrib-rest/src/test/java/org/apache/zookeeper/JUnit4ZKTestRunner.java,"[BinaryExpr, MethodCallExpr, MethodCallExpr] [annotation, annotation, expected, annotation, expected, isAssignableFrom, t, getClass]",5
